Crop,N_Effect,P_Effect,K_Effect,pH_Effect
Blackgram,40.18,-14.93,-22.29,0.187
Blackgram,48.38,-14.02,-20.84,0.203
Blackgram,32.07,-10.78,-23.38,0.135
Blackgram,36.48,-12.97,-26.14,0.198
Blackgram,46.4,-10.14,-25.85,0.284
Blackgram,33.85,-10.34,-29.38,0.249
Blackgram,32.7,-14.82,-24.79,0.134
Blackgram,34.58,-12.23,-25.98,0.141
Blackgram,46.42,-12.36,-26.75,0.288
Blackgram,39.08,-11.11,-26.62,0.144
Blackgram,46.59,-13.72,-29.81,0.269
Blackgram,49.43,-11.63,-28.91,0.138
Blackgram,36.66,-13.72,-21.62,0.246
Blackgram,47.02,-14.92,-23.49,0.126
Blackgram,47.61,-14.79,-21.99,0.187
Blackgram,47.35,-14.16,-27.11,0.203
Blackgram,39.76,-12.06,-29.92,0.186
Blackgram,47.84,-12.55,-23.16,0.264
Blackgram,42.09,-10.08,-21.11,0.139
Blackgram,31.12,-10.86,-20.75,0.199
Blackgram,43.11,-11.11,-28.86,0.3
Blackgram,47.47,-13.42,-28.57,0.229
Blackgram,35.32,-10.18,-20.28,0.286
Blackgram,48.88,-13.29,-25.74,0.162
Blackgram,32.79,-12.68,-27.88,0.158
Blackgram,33.67,-13.02,-29.52,0.201
Blackgram,33.02,-10.54,-26.06,0.183
Blackgram,31.42,-13.59,-29.06,0.103
Blackgram,44.16,-12.17,-25.03,0.188
Blackgram,39.53,-12.55,-20.27,0.159
Blackgram,48.32,-10.71,-29.5,0.242
Blackgram,43.68,-10.33,-20.89,0.149
Blackgram,34.86,-11.89,-27.85,0.253
Blackgram,37.87,-11.41,-27.56,0.208
Blackgram,40.28,-13.76,-20.84,0.281
Blackgram,30.67,-10.26,-29.83,0.171
Blackgram,42.22,-12.57,-26.52,0.165
Blackgram,34.4,-11.05,-21.03,0.183
Blackgram,49.86,-11.71,-27.82,0.15
Blackgram,33.83,-13.73,-21.32,0.12
Blackgram,37.16,-11.8,-23.97,0.151
Chickpea,57.06,-10.91,-32.68,0.419
Chickpea,41.76,-16.38,-36.94,0.323
Chickpea,45.74,-15.98,-39.53,0.392
Chickpea,40.32,-13.3,-34.49,0.425
Chickpea,56.23,-18.65,-32.81,0.427
Chickpea,41.74,-12.91,-32.41,0.225
Chickpea,41.82,-16.11,-33.56,0.387
Chickpea,54.11,-15.2,-31.67,0.45
Chickpea,49.7,-14.46,-34.43,0.44
Chickpea,55.55,-13.23,-31.5,0.239
Chickpea,45.73,-15.23,-33.66,0.234
Chickpea,40.89,-15.34,-31.03,0.382
Chickpea,40.04,-10.65,-38.71,0.323
Chickpea,52.19,-19.22,-32.75,0.443
Chickpea,54.34,-13.25,-32.29,0.375
Chickpea,54.26,-18.43,-32.57,0.438
Chickpea,43.92,-13.1,-31.88,0.493
Chickpea,55.7,-11.12,-38.12,0.333
Chickpea,57.4,-15.41,-34.14,0.396
Chickpea,52.79,-14.97,-36.89,0.466
Chickpea,54.3,-10.99,-35.52,0.409
Chickpea,42.65,-10.25,-31.14,0.222
Chickpea,42.93,-10.26,-34.61,0.307
Chickpea,40.37,-18.21,-36.4,0.394
Chickpea,54.39,-15.54,-33.99,0.289
Chickpea,56.07,-13.22,-39.95,0.237
Chickpea,54.68,-17.12,-34.37,0.336
Chickpea,52.55,-15.94,-38.99,0.241
Chickpea,58.5,-12.76,-39.31,0.374
Chickpea,41.64,-17.01,-38.55,0.485
Chickpea,55.74,-16.2,-31.04,0.33
Chickpea,44.61,-18.85,-35.76,0.24
Chickpea,58.91,-18.78,-39.09,0.431
Chickpea,45.94,-15.51,-39.07,0.463
Chickpea,50.95,-16.9,-38.27,0.253
Chickpea,59.76,-19.23,-39.19,0.35
Chickpea,48.86,-15.49,-36.77,0.458
Chickpea,51.45,-16.98,-39.26,0.446
Chickpea,41.55,-18.43,-30.18,0.24
Chickpea,53.1,-15.74,-35.61,0.428
Chickpea,55.06,-16.63,-33.6,0.418
Chickpea,43.79,-14.61,-34.74,0.374
Chickpea,57.17,-18.35,-39.82,0.334
Chickpea,47.0,-16.72,-37.18,0.201
Chickpea,57.12,-17.92,-33.57,0.449
Chickpea,44.56,-19.46,-31.2,0.455
Chickpea,56.01,-11.98,-38.55,0.242
Chickpea,48.45,-15.37,-39.56,0.271
Chickpea,57.85,-16.18,-31.23,0.372
Chickpea,58.26,-15.73,-39.02,0.32
Chickpea,45.52,-11.89,-34.56,0.309
Chickpea,58.66,-15.0,-36.66,0.271
Chickpea,49.46,-19.24,-34.16,0.381
Chickpea,58.04,-19.78,-34.24,0.338
Chickpea,40.91,-13.48,-39.35,0.329
Chickpea,47.85,-13.26,-36.29,0.421
Chickpea,52.61,-16.96,-38.12,0.393
Chickpea,46.09,-18.29,-38.88,0.295
Chickpea,46.83,-19.23,-36.33,0.229
Chickpea,56.03,-18.19,-31.58,0.378
Chickpea,47.32,-11.44,-33.7,0.259
Chickpea,50.17,-17.77,-39.94,0.248
Chickpea,54.14,-19.74,-38.69,0.467
Chickpea,54.36,-19.32,-34.47,0.298
Chickpea,47.03,-10.46,-33.72,0.205
Chickpea,50.07,-16.52,-31.05,0.291
Chickpea,51.63,-11.25,-30.61,0.452
Chickpea,44.04,-12.49,-33.86,0.481
Chickpea,43.95,-17.97,-35.1,0.432
Chickpea,40.2,-18.05,-36.04,0.291
Chickpea,46.3,-15.52,-31.79,0.281
Chickpea,45.5,-11.85,-30.4,0.43
Chickpea,53.62,-13.96,-37.09,0.293
Chickpea,58.15,-12.46,-33.92,0.351
Chickpea,53.97,-18.64,-39.0,0.332
Chickpea,52.48,-16.62,-35.13,0.453
Chickpea,45.66,-11.95,-34.76,0.442
Chickpea,51.28,-14.75,-32.03,0.272
Chickpea,59.46,-10.73,-36.27,0.226
Chickpea,40.11,-17.23,-39.22,0.445
Chickpea,40.35,-12.71,-38.94,0.223
Chickpea,48.61,-10.33,-36.28,0.434
Chickpea,55.87,-17.28,-37.31,0.288
Chickpea,46.64,-11.45,-32.43,0.473
Chickpea,55.14,-18.15,-35.31,0.221
Chickpea,41.83,-10.51,-33.34,0.223
Chickpea,48.61,-10.26,-33.77,0.426
Chickpea,51.49,-19.48,-33.95,0.377
Chickpea,55.05,-13.96,-34.93,0.293
Chickpea,46.55,-12.81,-30.55,0.264
Chickpea,52.67,-11.67,-34.18,0.226
Chickpea,44.9,-10.73,-33.04,0.498
Chickpea,40.63,-13.8,-39.69,0.37
Chickpea,40.44,-17.07,-33.01,0.301
Chickpea,44.66,-11.56,-35.75,0.437
Chickpea,46.19,-19.08,-39.35,0.338
Chickpea,53.18,-15.1,-32.17,0.402
Chickpea,56.01,-11.16,-35.9,0.421
Chickpea,56.31,-16.83,-34.69,0.405
Chickpea,52.56,-12.47,-35.7,0.344
Chickpea,57.66,-17.84,-39.61,0.331
Chickpea,53.57,-14.54,-31.77,0.38
Chickpea,47.83,-11.47,-37.99,0.474
Chickpea,42.11,-10.77,-37.74,0.351
Chickpea,48.61,-13.06,-31.16,0.397
Chickpea,46.88,-11.0,-33.83,0.489
Chickpea,57.23,-10.36,-38.17,0.204
Chickpea,40.81,-11.35,-32.83,0.219
Chickpea,41.02,-19.33,-37.34,0.297
Chickpea,50.03,-11.54,-39.38,0.244
Chickpea,47.88,-19.42,-39.31,0.381
Chickpea,53.04,-12.26,-37.25,0.444
Chickpea,42.45,-14.08,-35.94,0.204
Chickpea,57.84,-12.95,-36.93,0.394
Chickpea,55.71,-12.72,-31.1,0.34
Chickpea,58.35,-12.62,-36.88,0.322
Chickpea,46.27,-12.16,-32.38,0.203
Chickpea,47.86,-12.7,-38.14,0.402
Chickpea,45.3,-19.02,-33.69,0.316
Chickpea,48.55,-18.12,-37.0,0.457
Chickpea,56.31,-15.57,-33.89,0.353
Chickpea,45.5,-15.64,-36.68,0.386
Chickpea,59.94,-12.99,-36.05,0.202
Chickpea,41.76,-18.38,-38.01,0.36
Chickpea,53.26,-17.1,-30.15,0.463
Chickpea,40.45,-12.93,-39.86,0.405
Chickpea,44.02,-10.09,-39.52,0.322
Chickpea,49.98,-18.19,-38.54,0.438
Chickpea,58.33,-14.28,-38.4,0.224
Chickpea,47.08,-13.61,-33.22,0.377
Chickpea,55.79,-13.61,-38.83,0.232
Chickpea,54.16,-11.35,-34.08,0.375
Chickpea,48.13,-13.53,-32.94,0.276
Chickpea,54.56,-11.78,-35.13,0.301
Chickpea,42.34,-12.86,-32.63,0.233
Chickpea,48.69,-10.29,-36.33,0.341
Chickpea,44.28,-18.66,-30.29,0.445
Chickpea,43.76,-12.41,-34.01,0.206
Chickpea,52.28,-19.42,-36.57,0.341
Chickpea,59.83,-12.07,-37.32,0.32
Chickpea,48.43,-16.43,-38.71,0.45
Chickpea,51.14,-14.57,-30.67,0.419
Chickpea,47.41,-12.85,-31.23,0.357
Chickpea,41.79,-10.87,-34.16,0.393
Chickpea,42.1,-17.29,-30.54,0.308
Chickpea,49.79,-10.47,-31.11,0.436
Chickpea,44.4,-11.72,-30.65,0.465
Chickpea,54.43,-19.83,-35.84,0.211
Chickpea,48.36,-16.41,-32.81,0.272
Chickpea,51.45,-18.64,-31.37,0.28
Chickpea,53.79,-15.39,-38.28,0.263
Chickpea,49.22,-10.56,-36.29,0.284
Chickpea,47.33,-13.99,-39.03,0.47
Chickpea,58.18,-14.73,-35.06,0.466
Chickpea,40.09,-10.65,-35.77,0.327
Chickpea,51.55,-13.56,-35.08,0.397
Chickpea,51.48,-13.49,-33.83,0.497
Chickpea,46.88,-16.9,-35.44,0.408
Chickpea,45.13,-15.48,-37.09,0.49
Chickpea,47.18,-13.41,-30.14,0.244
Chickpea,43.96,-19.37,-36.1,0.264
Chickpea,44.56,-19.57,-32.64,0.364
Chickpea,57.3,-16.97,-34.26,0.333
Chickpea,55.58,-16.81,-37.25,0.435
Chickpea,44.74,-18.63,-34.1,0.306
Chickpea,45.81,-19.99,-34.24,0.276
Chickpea,59.91,-10.97,-35.47,0.219
Chickpea,59.04,-10.64,-30.28,0.307
Chickpea,50.21,-14.59,-30.79,0.32
Chickpea,56.24,-15.11,-32.19,0.259
Chickpea,54.82,-16.56,-32.53,0.289
Chickpea,43.21,-19.66,-35.5,0.274
Chickpea,41.46,-11.54,-34.04,0.245
Chickpea,40.08,-16.92,-39.65,0.272
Chickpea,58.64,-17.95,-38.32,0.451
Chickpea,45.38,-11.23,-37.53,0.233
Chickpea,54.46,-18.04,-39.14,0.412
Chickpea,50.04,-13.62,-34.12,0.472
Chickpea,48.12,-15.38,-30.72,0.371
Chickpea,58.21,-18.08,-32.3,0.377
Chickpea,57.24,-19.84,-37.79,0.229
Chickpea,45.05,-11.07,-38.59,0.469
Chickpea,41.01,-10.03,-35.87,0.397
Chickpea,52.61,-19.87,-34.35,0.415
Chickpea,44.29,-17.41,-31.16,0.343
Chickpea,42.94,-12.9,-37.0,0.301
Chickpea,46.7,-14.8,-32.41,0.294
Chickpea,55.23,-14.69,-38.95,0.323
Chickpea,49.56,-19.35,-38.67,0.301
Chickpea,55.62,-16.47,-30.28,0.215
Chickpea,56.98,-13.4,-31.68,0.477
Chickpea,52.53,-18.66,-33.16,0.391
Chickpea,59.83,-15.67,-31.73,0.262
Chickpea,41.75,-10.97,-38.52,0.334
Chickpea,42.49,-12.84,-30.48,0.285
Chickpea,41.01,-12.95,-39.77,0.327
Chickpea,54.39,-19.85,-35.4,0.281
Chickpea,44.38,-12.59,-32.68,0.217
Chickpea,44.06,-14.23,-39.28,0.349
Chickpea,42.63,-16.37,-39.4,0.431
Kidneybeans,35.64,-11.45,-31.4,0.228
Kidneybeans,37.89,-17.52,-37.4,0.349
Kidneybeans,30.82,-18.03,-34.54,0.18
Kidneybeans,31.24,-19.4,-37.71,0.119
Kidneybeans,46.03,-17.5,-38.31,0.289
Kidneybeans,41.37,-12.3,-38.08,0.25
Kidneybeans,37.41,-18.82,-36.32,0.162
Kidneybeans,46.33,-12.03,-31.87,0.345
Kidneybeans,31.59,-11.98,-35.14,0.394
Kidneybeans,47.41,-16.04,-34.43,0.204
Kidneybeans,47.21,-11.5,-35.18,0.145
Kidneybeans,37.74,-17.7,-37.34,0.144
Kidneybeans,34.43,-16.2,-37.54,0.301
Kidneybeans,44.36,-14.08,-35.18,0.231
Kidneybeans,45.22,-10.76,-35.93,0.323
Kidneybeans,47.61,-12.19,-37.65,0.237
Kidneybeans,37.5,-10.41,-38.78,0.307
Kidneybeans,34.53,-14.17,-34.75,0.398
Kidneybeans,43.39,-15.9,-36.4,0.226
Kidneybeans,42.91,-12.52,-34.79,0.308
Kidneybeans,37.35,-16.91,-34.95,0.288
Kidneybeans,40.71,-11.26,-32.13,0.214
Kidneybeans,47.26,-17.57,-37.48,0.398
Kidneybeans,38.02,-12.12,-31.29,0.209
Kidneybeans,31.32,-18.03,-38.74,0.145
Kidneybeans,30.22,-13.38,-32.16,0.385
Kidneybeans,33.52,-11.23,-38.89,0.282
Kidneybeans,46.73,-18.06,-30.27,0.343
Kidneybeans,31.4,-18.48,-31.77,0.133
Kidneybeans,46.16,-12.02,-37.74,0.246
Kidneybeans,30.86,-12.07,-36.21,0.277
Kidneybeans,47.27,-10.48,-38.13,0.154
Kidneybeans,43.57,-15.7,-39.94,0.366
Kidneybeans,43.15,-12.95,-36.22,0.176
Kidneybeans,34.67,-17.43,-34.3,0.3
Kidneybeans,40.61,-17.88,-38.41,0.14
Kidneybeans,30.81,-15.3,-38.02,0.343
Kidneybeans,48.53,-10.65,-33.67,0.232
Kidneybeans,42.54,-17.78,-31.47,0.324
Kidneybeans,44.53,-14.99,-32.46,0.146
Kidneybeans,45.46,-13.0,-33.25,0.382
Kidneybeans,46.23,-17.99,-37.52,0.354
Kidneybeans,45.97,-11.71,-37.29,0.153
Kidneybeans,49.71,-19.28,-35.41,0.332
Kidneybeans,36.79,-16.75,-36.29,0.164
Kidneybeans,39.41,-14.0,-38.95,0.394
Kidneybeans,35.22,-19.47,-34.2,0.374
Kidneybeans,37.58,-12.46,-39.97,0.151
Kidneybeans,44.72,-17.87,-38.63,0.274
Kidneybeans,40.53,-18.47,-37.95,0.375
Kidneybeans,48.88,-18.67,-39.54,0.266
Kidneybeans,42.61,-10.03,-38.52,0.304
Kidneybeans,38.17,-11.08,-39.16,0.332
Kidneybeans,38.29,-14.46,-34.27,0.147
Kidneybeans,47.72,-14.37,-34.0,0.301
Kidneybeans,34.67,-17.55,-32.53,0.126
Kidneybeans,35.45,-18.24,-33.6,0.188
Kidneybeans,44.61,-18.62,-37.66,0.286
Kidneybeans,39.69,-15.58,-31.57,0.349
Kidneybeans,36.36,-18.97,-38.94,0.339
Kidneybeans,32.22,-19.5,-33.71,0.285
Kidneybeans,49.93,-17.32,-37.51,0.149
Kidneybeans,49.44,-11.59,-38.83,0.325
Kidneybeans,46.32,-18.7,-38.63,0.394
Kidneybeans,49.51,-18.79,-39.55,0.301
Kidneybeans,34.48,-10.3,-39.5,0.359
Kidneybeans,35.21,-11.05,-33.75,0.249
Kidneybeans,44.21,-19.03,-34.68,0.363
Kidneybeans,47.18,-17.92,-33.37,0.217
Kidneybeans,46.38,-18.3,-35.0,0.327
Kidneybeans,44.07,-11.85,-35.59,0.366
Kidneybeans,44.78,-14.57,-30.17,0.105
Kidneybeans,41.39,-11.31,-32.91,0.266
Kidneybeans,40.61,-16.54,-31.52,0.283
Kidneybeans,34.94,-17.03,-37.05,0.379
Kidneybeans,45.17,-18.27,-32.76,0.113
Kidneybeans,31.4,-13.56,-31.3,0.317
Kidneybeans,39.8,-16.13,-38.43,0.24
Kidneybeans,41.16,-11.89,-32.24,0.118
Kidneybeans,38.28,-14.83,-37.59,0.215
Kidneybeans,40.51,-11.84,-31.66,0.33
Kidneybeans,30.37,-13.75,-31.81,0.285
Kidneybeans,37.94,-11.88,-31.19,0.286
Kidneybeans,37.78,-19.11,-30.35,0.159
Kidneybeans,31.01,-14.78,-36.98,0.121
Kidneybeans,46.47,-17.05,-34.53,0.319
Kidneybeans,49.0,-14.2,-38.23,0.201
Kidneybeans,30.78,-14.71,-31.2,0.317
Kidneybeans,40.84,-12.86,-38.96,0.207
Kidneybeans,47.65,-13.81,-38.64,0.371
Kidneybeans,46.58,-16.1,-36.15,0.389
Kidneybeans,38.26,-19.71,-31.34,0.325
Kidneybeans,48.54,-19.78,-38.12,0.306
Kidneybeans,36.64,-17.74,-31.04,0.163
Kidneybeans,38.18,-13.18,-35.55,0.4
Kidneybeans,42.21,-17.21,-36.12,0.333
Kidneybeans,34.01,-19.78,-37.5,0.201
Kidneybeans,32.84,-15.13,-33.21,0.365
Kidneybeans,30.84,-10.28,-33.56,0.115
Kidneybeans,41.14,-18.82,-38.89,0.201
Kidneybeans,31.7,-15.54,-36.24,0.331
Kidneybeans,36.67,-12.59,-32.85,0.278
Kidneybeans,40.73,-16.77,-36.94,0.152
Kidneybeans,33.9,-14.55,-31.08,0.147
Kidneybeans,43.37,-17.38,-34.61,0.28
Kidneybeans,37.69,-18.2,-39.89,0.193
Kidneybeans,34.69,-19.98,-37.06,0.123
Kidneybeans,36.34,-18.46,-33.07,0.242
Kidneybeans,31.03,-12.32,-38.96,0.269
Kidneybeans,33.54,-11.08,-39.77,0.149
Kidneybeans,49.57,-15.89,-38.72,0.219
Kidneybeans,38.1,-17.67,-37.02,0.355
Kidneybeans,48.76,-11.52,-38.24,0.363
Kidneybeans,45.05,-16.92,-32.39,0.273
Kidneybeans,46.33,-12.44,-30.24,0.262
Kidneybeans,48.86,-19.3,-37.23,0.323
Kidneybeans,45.46,-18.21,-34.82,0.131
Kidneybeans,37.37,-15.22,-37.41,0.157
Kidneybeans,49.0,-18.79,-30.66,0.118
Kidneybeans,38.04,-15.82,-30.26,0.122
Kidneybeans,41.42,-11.78,-37.58,0.29
Kidneybeans,46.23,-13.22,-33.38,0.134
Kidneybeans,32.66,-18.34,-34.18,0.246
Kidneybeans,42.86,-15.48,-32.61,0.355
Kidneybeans,37.8,-13.42,-32.7,0.296
Kidneybeans,43.84,-18.96,-34.95,0.132
Kidneybeans,31.35,-19.69,-34.66,0.13
Kidneybeans,30.03,-19.89,-37.21,0.259
Kidneybeans,37.92,-16.8,-37.62,0.291
Kidneybeans,32.44,-15.35,-31.72,0.308
Kidneybeans,44.71,-10.08,-36.88,0.11
Kidneybeans,41.28,-18.92,-31.8,0.262
Kidneybeans,48.21,-19.29,-32.21,0.253
Kidneybeans,30.22,-11.85,-35.35,0.14
Kidneybeans,39.9,-12.65,-38.62,0.243
Kidneybeans,39.65,-16.1,-30.1,0.332
Kidneybeans,34.78,-17.97,-33.18,0.253
Kidneybeans,40.78,-18.64,-31.73,0.357
Kidneybeans,42.21,-19.47,-37.29,0.218
Kidneybeans,31.3,-11.02,-35.07,0.349
Kidneybeans,44.24,-15.97,-37.31,0.371
Kidneybeans,43.09,-14.02,-38.3,0.188
Kidneybeans,36.12,-17.76,-33.77,0.287
Kidneybeans,34.53,-10.58,-37.49,0.321
Kidneybeans,49.94,-14.93,-33.7,0.351
Kidneybeans,35.25,-18.09,-38.55,0.294
Kidneybeans,32.4,-19.24,-35.84,0.319
Kidneybeans,30.34,-11.27,-31.61,0.326
Kidneybeans,42.85,-17.79,-32.84,0.235
Kidneybeans,48.36,-12.56,-38.51,0.343
Kidneybeans,45.97,-11.15,-38.28,0.19
Kidneybeans,31.15,-12.51,-35.3,0.233
Kidneybeans,44.56,-17.62,-37.53,0.334
Kidneybeans,41.57,-15.71,-33.61,0.382
Kidneybeans,42.22,-16.08,-31.39,0.2
Kidneybeans,46.0,-19.79,-39.82,0.201
Kidneybeans,35.26,-12.75,-33.79,0.16
Kidneybeans,43.43,-12.11,-32.22,0.25
Kidneybeans,46.19,-19.34,-36.31,0.344
Kidneybeans,30.8,-14.91,-32.98,0.139
Kidneybeans,32.3,-15.72,-38.77,0.227
Kidneybeans,40.1,-14.92,-34.47,0.192
Kidneybeans,35.37,-10.07,-37.97,0.251
Kidneybeans,34.81,-12.57,-33.77,0.374
Kidneybeans,36.53,-16.67,-35.3,0.109
Kidneybeans,44.59,-19.97,-38.99,0.273
Kidneybeans,32.62,-13.14,-38.74,0.388
